	Adj Close	Adj Close	Close	Close	High	High	Low	Low	Open	Open	Volume	Volume
	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP
Date												
2019-01-02	87.9	91012.0	87.9	91012.0	88.26	91479.0	84.35	87536.0	84.6	87887.0	5021260	5615400
2019-01-03	88.0	91564.0	88.0	91564.0	88.4	91596.0	86.8	89922.0	87.55	91011.0	4300220	6066200
2019-01-04	88.5	91841.0	88.5	91841.0	89.45	92701.0	87.63	90824.0	88.2	91577.0	2449750	5322100
2019-01-07	88.48	91699.0	88.48	91699.0	89.32	92552.0	88.06	91288.0	88.65	91845.0	2891360	4565000
2019-01-08	88.83	92032.0	88.83	92032.0	88.97	92231.0	87.87	91064.0	88.75	91699.0	3441770	4496500
2019-01-09	90.32	93613.0	90.32	93613.0	90.37	93626.0	89.12	92028.0	89.31	92033.0	8279800	5011400
2019-01-10	90.42	93806.0	90.42	93806.0	90.69	93987.0	89.83	93050.0	90.14	93599.0	2659920	4840600
2019-01-11	90.38	93658.0	90.38	93658.0	90.54	93961.0	90.02	93359.0	90.5	93806.0	2551310	5330500
2019-01-14	91.21	94474.0	91.21	94474.0	91.21	94474.0	90.1	93335.0	90.5	93645.0	4730780	4486900
2019-01-15	90.61	94056.0	90.61	94056.0	91.33	94695.0	90.11	93402.0	91.24	94474.0	3142940	4836400
2019-01-16	91.15	94393.0	91.15	94393.0	91.15	94393.0	90.38	93687.0	90.6	94057.0	2397860	4257400
2019-01-17	91.97	95351.0	91.97	95351.0	92.3	95682.0	90.63	93950.0	91.19	94393.0	6305700	4944200
2019-01-18	92.61	96097.0	92.61	96097.0	93.0	96396.0	92.13	95386.0	92.13	95386.0	4320330	4884000
2019-01-21	92.64	96010.0	92.64	96010.0	92.64	96093.0	91.51	94863.0	92.48	96093.0	4982260	2717600
2019-01-22	91.4	95103.0	91.4	95103.0	92.7	96070.0	91.3	94662.0	92.21	96008.0	4479240	4256000
2019-01-23	93.1	96558.0	93.1	96558.0	93.21	96576.0	92.0	95116.0	92.0	95116.0	5897270	0
2019-01-24	94.17	97677.0	94.17	97677.0	94.17	97677.0	92.97	96558.0	93.1	96558.0	3726980	5019400
2019-01-28	92.08	95444.0	92.08	95444.0	92.84	97937.0	91.41	94783.0	92.5	97674.0	5478580	7185300
2019-01-29	92.19	95639.0	92.19	95639.0	93.34	96751.0	92.19	95508.0	92.8	95508.0	1986330	5262000
2019-01-30	93.52	96996.0	93.52	96996.0	93.67	97107.0	92.42	95643.0	93.44	95643.0	3607100	6164400
2019-01-31	94.0	97394.0	94.0	97394.0	94.95	98405.0	94.0	96996.0	94.26	96996.0	4923640	5976000
2019-02-01	94.36	97861.0	94.36	97861.0	94.58	98044.0	93.6	96990.0	94.1	97395.0	4287810	4301600
2019-02-04	95.03	98589.0	95.03	98589.0	95.1	98589.0	93.4	96901.0	94.0	97861.0	4336200	4278300
2019-02-05	94.8	98311.0	94.8	98311.0	95.1	98587.0	94.15	97596.0	94.6	98587.0	3713770	4773700
2019-02-06	91.27	94636.0	91.27	94636.0	93.83	98308.0	91.27	94636.0	93.83	98308.0	6915540	5458200
2019-02-07	91.0	94406.0	91.0	94406.0	92.25	95642.0	90.18	93507.0	92.0	94654.0	4777200	5612500
2019-02-08	91.7	95343.0	91.7	95343.0	92.14	95486.0	90.08	93424.0	90.48	94401.0	5346560	5302500
