date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-09-11 17:04:02,JobsBerlin1,,0,0,0,"Pre – Sales Manager (m/w/d) – bookingkit GmbH – Berlin: JobID=3a0.1 bookingkit GmbH Pre – Sales Manager (m/w/d) Angestellter Berlin, Germany Vertrieb Quereinsteiger willkommen! Wir bieten dir ein ungedeckeltes Provisionsmodell und den Einstieg in den… http://dlvr.it/RCvfQW",,,,1171831779688239104,https://twitter.com/JobsBerlin1/status/1171831779688239104
2019-09-11 16:59:00,GigaTools,,0,0,0,"EINMUSIK is playing @#Ritter Butzke #Berlin #Germany, Tue 31 Dec 2019 #gigs",,@,#Ritter #Berlin #Germany #gigs,1171830511507005440,https://twitter.com/GigaTools/status/1171830511507005440
2019-09-11 16:56:45,SideEntrance,,0,0,1,"Finally (in this longest thread ever) check ME out in my upcoming European tour inshallah when I speak on women and the mosque in: Berlin, Germany 21.9.2019 Rotterdam, NL 27.9.2019 Vienna, Austria 4.10.2019 More events may be possible - will post individual links shortly iA.",,,,1171829945313714177,https://twitter.com/SideEntrance/status/1171829945313714177
2019-09-11 16:42:34,yateswho,,0,0,0,"I had the very best time & company over the last few days I’m really going to miss you guys see you in a flash amberlarkham cory_collombet __soni.i__ @Berlin, Germany https://www.instagram.com/p/B2RyyW5ip6Q/?igshid=vweyf0pi8lgx …",,@Berlin,,1171826375948480513,https://twitter.com/yateswho/status/1171826375948480513
2019-09-11 16:40:45,lumophil,,0,0,0,"tree studies @Schöneberg, Berlin, Germany https://www.instagram.com/p/B2RylaAItq4/?igshid=12lq8vki46y9g …",,@Schöneberg,,1171825918177939456,https://twitter.com/lumophil/status/1171825918177939456
2019-09-11 16:38:16,allhound,NICKZANO,0,0,0,"I can remember. I was working at the airport in Berlin Germany, when that terrible act of terror changed our world forever. All TVs were switched off to avoid panic at the airport. our tv stayed on. Our restaurant had never been so quiet. Love to all who lost #neverforgethttps://twitter.com/nickzano/status/1171821353466384384 …",,,#neverforgethttps,1171825295801946112,https://twitter.com/allhound/status/1171825295801946112
2019-09-11 16:34:24,sterntendo,,0,7,18,"Wonderful #sunset on June 27, 2019 in #Berlin, #Germany! @StormHour @ThePhotoHour @EarthandClouds @PhotographyWxpic.twitter.com/mqlVtdny4Q",,@StormHour @ThePhotoHour @EarthandClouds @PhotographyWxpic,#sunset #Berlin #Germany,1171824321083432961,https://twitter.com/sterntendo/status/1171824321083432961
2019-09-11 16:33:20,e_architect,,0,0,0,"Atelier Event Space in Berlin – design by ALLENKAUFMANN https://www.e-architect.co.uk/berlin/atelier-event-space-in-berlin … #EventSpace in #Berlin #Germany #ContemporaryInterior #GermanArchitecture",,,#EventSpace #Berlin #Germany #ContemporaryInterior #GermanArchitecture,1171824055537799169,https://twitter.com/e_architect/status/1171824055537799169
2019-09-11 16:33:05,elmaskilic,,0,0,0,"I'm at Schnelle Quelle in Berlin, Germany https://www.swarmapp.com/c/0cJect3xWqg",,,,1171823991734120449,https://twitter.com/elmaskilic/status/1171823991734120449
2019-09-11 16:30:26,analogmofo,,0,0,0,"Time off. Berlin, Germany. . Mamiya C220 w/ Sekor 105mm f/3.5 DS on Fujifilm Provia 100. . #slides#slidefilm#120film#mediumformat#mediumformatfilm#analog#film#filmisnotdead#filmisalive#filmphoto#believeinfilm#keepfilmalive#filmwave#filmforever#park#neukölln#berlin#berlinonfilm pic.twitter.com/rCj1ufMVH3",,,#slides #slidefilm #120film #mediumformat #mediumformatfilm #analog #film #filmisnotdead #filmisalive #filmphoto #believeinfilm #keepfilmalive #filmwave #filmforever #park #neukölln #berlin #berlinonfilm,1171823324143476737,https://twitter.com/analogmofo/status/1171823324143476737
